field,i_date
African studies,1928
African studies,1954
African studies,1958
African studies,1960
African studies,1963
African studies,1967
African studies,1971
African studies,1975
African studies,1978
African studies,1982
African studies,1984
African studies,1986
African studies,1988
African studies,1988
African studies,1989
African studies,1992
African studies,1993
African studies,2003
African studies,2007
Analytical chemistry,1876
Analytical chemistry,1876
Analytical chemistry,1876
Analytical chemistry,1876
Analytical chemistry,1876
Analytical chemistry,1915
Analytical chemistry,1958
Analytical chemistry,1977
Analytical chemistry,1986
Analytical chemistry,1986
Analytical chemistry,2008
Anthropology,1901
Anthropology,1901
Anthropology,1930
Anthropology,1931
Anthropology,1960
Anthropology,1961
Anthropology,1962
Anthropology,1972
Anthropology,1974
Anthropology,1984
Anthropology,1985
Anthropology,1989
Anthropology,1990
Anthropology,1992
Anthropology,1994
Anthropology,1995
Anthropology,2005
Archaeology,1846
Archaeology,1930
Archaeology,1957
Archaeology,1968
Archaeology,1969
Archaeology,1970
Archaeology,1974
Archaeology,1974
Archaeology,1982
Archaeology,1982
Archaeology,1982
Archaeology,1988
Archaeology,1991
Archaeology,2001
Biochemistry,1877
Biochemistry,1906
Biochemistry,1906
Biochemistry,1922
Biochemistry,1924
Biochemistry,1936
Biochemistry,1938
Biochemistry,1947
Biochemistry,1955
Biochemistry,1960
Biochemistry,1960
Biochemistry,1962
Biochemistry,1965
Biochemistry,1967
Biochemistry,1967
Biochemistry,1973
Biochemistry,1979
Biochemistry,1983
Biochemistry,1986
Biochemistry,1986
Biochemistry,1988
Biochemistry,1988
Biochemistry,1992
Biochemistry,1995
Biology,1887
Biology,1912
Biology,1926
Biology,1926
Biology,1934
Biology,1955
Biology,1958
Biology,1964
Biology,1974
Biology,1976
Biology,1976
Biology,1976
Biology,1976
Biology,1976
Biology,1976
Biology,1976
Biology,1976
Biology,1976
Biology,1976
Biology,1976
Biology,1976
Biology,1977
Biology,1981
Biology,1984
Biology,1991
Biology,1993
Biology,1999
Biology,2002
Biology,2003
Biology,2003
Biology,2003
Biology,2005
Biology,2005
Biology,2006
Biology,2007
Biology,2007
Biology,2008
Biology,2012
Biology,2012
Botany,1851
Botany,1887
Botany,1914
Botany,1916
Botany,1923
Botany,1934
Botany,1947
Botany,1948
Botany,1950
Botany,1953
Botany,1955
Botany,1970
Botany,1974
Botany,1975
Botany,1976
Botany,1976
Botany,1978
Botany,1978
Botany,1981
Botany,1987
Botany,1994
Cardiology,1925
Cardiology,1934
Cardiology,1937
Cardiology,1939
Cardiology,1968
Cardiology,1970
Cardiology,1978
Cardiology,1978
Cardiology,1980
Cardiology,1981
Cardiology,1982
Cardiology,1983
Cardiology,1983
Cardiology,1994
Cardiology,1996
Cardiology,1999
Cardiology,2001
Cardiology,2003
Cardiology,2004
Cardiology,2004
Cardiology,2008
Cell biology,1853
Cell biology,1924
Cell biology,1950
Cell biology,1953
Cell biology,1962
Cell biology,1969
Cell biology,1973
Cell biology,1977
Cell biology,1980
Cell biology,1980
Cell biology,1990
Cell biology,1999
Cell biology,2002
Cell biology,2005
Cell biology,2005
Chemistry,1832
Chemistry,1841
Chemistry,1841
Chemistry,1841
Chemistry,1841
Chemistry,1849
Chemistry,1849
Chemistry,1849
Chemistry,1849
Chemistry,1858
Chemistry,1862
Chemistry,1868
Chemistry,1871
Chemistry,1879
Chemistry,1879
Chemistry,1882
Chemistry,1887
Chemistry,1887
Chemistry,1903
Chemistry,1904
Chemistry,1904
Chemistry,1904
Chemistry,1904
Chemistry,1904
Chemistry,1904
Chemistry,1904
Chemistry,1905
Chemistry,1905
Chemistry,1905
Chemistry,1905
Chemistry,1906
Chemistry,1907
Chemistry,1918
Chemistry,1921
Chemistry,1924
Chemistry,1926
Chemistry,1929
Chemistry,1929
Chemistry,1929
Chemistry,1929
Chemistry,1942
Chemistry,1947
Chemistry,1948
Chemistry,1954
Chemistry,1962
Chemistry,1965
Chemistry,1966
Chemistry,1968
Chemistry,1968
Chemistry,1968
Chemistry,1968
Chemistry,1969
Chemistry,1969
Chemistry,1969
Chemistry,1971
Chemistry,1972
Chemistry,1976
Chemistry,1977
Chemistry,1978
Chemistry,1978
Chemistry,1978
Chemistry,1980
Chemistry,1982
Chemistry,1982
Chemistry,1984
Chemistry,1985
Chemistry,1985
Chemistry,1985
Chemistry,1987
Chemistry,1987
Chemistry,1988
Chemistry,1989
Chemistry,1989
Chemistry,1989
Chemistry,1989
Chemistry,1989
Chemistry,1990
Chemistry,1990
Chemistry,1990
Chemistry,1990
Chemistry,1991
Chemistry,1991
Chemistry,1993
Chemistry,1996
Chemistry,1996
Chemistry,1997
Chemistry,1997
Chemistry,1997
Chemistry,1997
Chemistry,1997
Chemistry,1998
Chemistry,1998
Chemistry,1998
Chemistry,1998
Chemistry,1998
Chemistry,1999
Chemistry,2002
Chemistry,2002
Chemistry,2002
Chemistry,2003
Chemistry,2004
Chemistry,2005
Chemistry,2006
Chemistry,2006
Chemistry,2006
Chemistry,2008
Chemistry,2009
Chemistry,2009
Chemistry,2010
Chemistry,2011
Computer science,1954
Computer science,1958
Computer science,1965
Computer science,1969
Computer science,1971
Computer science,1972
Computer science,1977
Computer science,1979
Computer science,1983
Computer science,1983
Computer science,1983
Computer science,1983
Computer science,1985
Computer science,1985
Computer science,1985
Computer science,1986
Computer science,1987
Computer science,1987
Computer science,1988
Computer science,1990
Computer science,1990
Computer science,1991
Computer science,1991
Computer science,1991
Computer science,1993
Computer science,1994
Computer science,1997
Computer science,2003
Computer science,2007
Computer science,2012
Criminology,1929
Criminology,1964
Criminology,1968
Criminology,1972
Criminology,1973
Criminology,1978
Criminology,1979
Criminology,1985
Criminology,1986
Criminology,1997
Criminology,1998
Criminology,1999
Criminology,2001
Criminology,2001
Dentistry,1872
Dentistry,1879
Dentistry,1919
Dentistry,1939
Dentistry,1950
Dentistry,1983
Dentistry,1990
Dentistry,1997
Dentistry,1998
Dentistry,2005
Dentistry,2010
Dentistry,2014
Dermatology,1888
Dermatology,1938
Dermatology,1955
Dermatology,1960
Dermatology,1960
Dermatology,1983
Dermatology,1987
Dermatology,1989
Dermatology,1990
Dermatology,1995
Dermatology,2001
Dermatology,2008
Economics,1884
Economics,1886
Economics,1891
Economics,1891
Economics,1892
Economics,1899
Economics,1899
Economics,1911
Economics,1911
Economics,1916
Economics,1921
Economics,1925
Economics,1925
Economics,1925
Economics,1933
Economics,1933
Economics,1947
Economics,1947
Economics,1948
Economics,1950
Economics,1951
Economics,1955
Economics,1956
Economics,1959
Economics,1959
Economics,1959
Economics,1962
Economics,1963
Economics,1967
Economics,1967
Economics,1969
Economics,1970
Economics,1970
Economics,1970
Economics,1971
Economics,1974
Economics,1974
Economics,1975
Economics,1977
Economics,1977
Economics,1977
Economics,1978
Economics,1980
Economics,1982
Economics,1982
Economics,1983
Economics,1983
Economics,1984
Economics,1984
Economics,1985
Economics,1985
Economics,1987
Economics,1987
Economics,1987
Economics,1988
Economics,1988
Economics,1989
Economics,1991
Economics,1991
Economics,1993
Economics,1996
Economics,1997
Economics,1999
Economics,2000
Economics,2000
Economics,2000
Economics,2000
Economics,2000
Economics,2001
Economics,2003
Economics,2003
Economics,2004
Economics,2004
Economics,2005
Economics,2005
Economics,2006
Economics,2006
Economics,2007
Economics,2007
Economics,2009
Economics,2009
Economics,2012
Education,1893
Education,1900
Education,1917
Education,1917
Education,1930
Education,1947
Education,1952
Education,1957
Education,1957
Education,1957
Education,1958
Education,1964
Education,1964
Education,1965
Education,1966
Education,1968
Education,1968
Education,1971
Education,1972
Education,1973
Education,1973
Education,1976
Education,1977
Education,1978
Education,1978
Education,1986
Education,1987
Education,1989
Education,1989
Education,1991
Education,1991
Education,1997
Education,1997
Education,1998
Education,1998
Education,2001
Education,2002
Education,2002
Education,2002
Education,2003
Education,2003
Education,2006
Education,2009
Education,2009
Education,2011
Endocrinology,1917
Endocrinology,1939
Endocrinology,1948
Endocrinology,1961
Endocrinology,1963
Endocrinology,1974
Endocrinology,1979
Endocrinology,1984
Endocrinology,1987
Endocrinology,1988
Endocrinology,1990
Endocrinology,2005
Endocrinology,2007
